Name,Author,CC0,BY,NC,SA,ND,CustomLicense,Link,Source,BPM,Time,Vocal,Drums(>50% of the time),Main Instrument,Generation(?),Feeling
Chill Urban,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Chill%20Urban.mp3,FreePD,,3:02,,,,,
MC Ballad A,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20A.mp3,FreePD,,3:33,,,,,
MC Ballad B,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20B.mp3,FreePD,,1:54,,,,,
MC Ballad C,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20C.mp3,FreePD,,2:48,,,,,
MC Ballad D,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20D.mp3,FreePD,,2:02,,,,,
MC Ballad E,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20E.mp3,FreePD,,3:18,,,,,
MC Ballad F Chuffy,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20F%20Chuffy.mp3,FreePD,,2:18,,,,,
MC Ballad G,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20G.mp3,FreePD,,2:51,,,,,
MC Ballad H,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20H.mp3,FreePD,,2:03,,,,,
MC Ballad I,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20I.mp3,FreePD,,2:00,,,,,
MC Ballad J,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20J.mp3,FreePD,,2:21,,,,,
MC Ballad K,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20K.mp3,FreePD,,1:53,,,,,
MC Ballad L,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20L.mp3,FreePD,,1:54,,,,,
MC Ballad M,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20M.mp3,FreePD,,1:57,,,,,
MC Ballad O,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20O.mp3,FreePD,,2:30,,,,,
MC Ballad P,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20P.mp3,FreePD,,1:49,,,,,
MC Ballad Q,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20Q.mp3,FreePD,,1:59,,,,,
MC Ballad R,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20R.mp3,FreePD,,2:03,,,,,
MC Ballad S Early Eighties,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20S%20Early%20Eighties.mp3,FreePD,,2:49,,,,,
MC Ballad T,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20T.mp3,FreePD,,2:58,,,,,
MC Ballad U Outside,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20U%20Outside.mp3,FreePD,,2:33,,,,,
MC Ballad W,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20W.mp3,FreePD,,2:55,,,,,
